id;nome;cpf;registro_conselho;telefone;email;ativo;valor_sessao
1;old excepting;liquid;nutritious absent scarily;afore;Warley_Moreira22@live.com;true;5286.69
2;oxidise afterwards;deliberately pure outset;sympathetically;mantua;Melissa35@bol.com.br;false;19312.58
3;uncork brood;overfeed sand;innocently physically which;impressive;Fabio98@hotmail.com;false;21814.04
4;fall medium birth;soon including among;healthily phew;quixotic inquisitively;PedroHenrique_Saraiva63@live.com;false;12894.81
5;political plastic;marimba motivate;gosh whose which;twist now ugh;Fabricio.Xavier35@live.com;false;14567.05
6;atop what;table deplore handful;genuine airport meh;boohoo;Lorena_Melo@gmail.com;false;32571.21
7;gosh through;crossly cool;to youthfully within;yuck sarong;Isis.Pereira@yahoo.com;false;14405.46
8;yet save prudent;loaf mobility;round;below why;Giovanna49@live.com;true;9299.58
9;only appropriate;red;ravage midst;milky provision vice;JoaoLucas81@live.com;false;32377.58
10;shipper whoa begonia;aha;failing;giving clamp;Benjamin4@live.com;false;20129.85
